Time,OVS,BNV
1,18.0078125,17.91015625
2,20,19.51171875
3,20,20
4,20,20
5,19.4921875,19.755859375
6,20,19.755859375
7,19.501953125,20
8,20,19.755859375
9,19.47265625,19.755859375
10,20,20
11,38.530078125,38.4421875
12,40.2,39.0234375
13,39.248046875,39.755859375
14,39.208984375,39.51171875
15,40,40
16,39.755859375,39.755859375
17,39.267578125,39.2578125
18,39.267578125,40
19,40,39.755859375
20,39.836328125,39.267578125
21,51.5625,56.52578125
22,37.607421875,59.06171875
23,33.28125,59.32578125
24,32.44140625,59.526171875
25,33.466796875,59.606640625
26,32.939453125,59.098828125
27,31.982421875,59.333203125
28,31.181640625,59.596875
29,31.318359375,59.352734375
30,32.20703125,59.24296875
31,36.708984375,77.5671875
32,34.4796875,79.11484375
33,30.4296875,80.2109375
34,29.9609375,79.52109375
35,30.2734375,77.01875
36,30.8984375,77.03828125
37,31.162109375,81.013671875
38,31.015625,80.65234375
39,31.4453125,78.21484375
40,31.806640625,78.29765625
41,36.171875,89.765625
42,32.27734375,91.93359375
43,29.9423828125,91.89453125
44,30.251953125,91.904296875
45,30.2626953125,91.923828125
46,30.369140625,91.904296875
47,30.5849609375,91.93359375
48,30.2822265625,91.9140625
49,30.5771484375,91.904296875
50,30.9296875,91.9140625
