Time,actualBandwidth,Bandwdith Percentage
1,956,93.359375
2,939,91.69921875
3,931,90.91796875
4,935,91.30859375
5,942,91.9921875
6,943,92.08984375
7,927,90.52734375
8,943,92.08984375
9,928,90.625
10,934,91.2109375
11,938,91.6015625
12,940,91.796875
13,938,91.6015625
14,937,91.50390625
15,933,91.11328125
16,937,91.50390625
17,938,91.6015625
18,933,91.11328125
19,939,91.69921875
20,937,91.50390625
21,941,91.89453125
22,932,91.015625
23,938,91.6015625
24,940,91.796875
25,934,91.2109375
26,934,91.2109375
27,941,91.89453125
28,937,91.50390625
29,931,90.91796875
30,943,92.08984375
31,929,90.72265625
32,939,91.69921875
33,941,91.89453125
34,934,91.2109375
35,939,91.69921875
36,935,91.30859375
37,934,91.2109375
38,944,92.1875
39,935,91.30859375
40,930,90.8203125
41,939,91.69921875
42,936,91.40625
43,941,91.89453125
44,936,91.40625
45,934,91.2109375
46,936,91.40625
47,940,91.796875
48,935,91.30859375
49,944,92.1875
50,935,91.30859375
51,937,91.50390625
52,935,91.30859375
53,933,91.11328125
54,941,91.89453125
55,928,90.625
56,942,91.9921875
57,939,91.69921875
58,937,91.50390625
59,931,90.91796875
60,933,91.11328125
