-----------------------------------------------------------
Server listening on 6001
-----------------------------------------------------------
Accepted connection from 20.1.1.3, port 51483
[  5] local 20.1.1.2 port 6001 connected to 20.1.1.3 port 51486
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-1.00   sec   110 MBytes   922 Mbits/sec                  
[  5]   1.00-2.00   sec   119 MBytes   999 Mbits/sec                  
[  5]   2.00-3.00   sec   120 MBytes  1.00 Gbits/sec                  
[  5]   3.00-4.00   sec   119 MBytes   999 Mbits/sec                  
[  5]   4.00-5.00   sec   119 MBytes   999 Mbits/sec                  
[  5]   5.00-6.00   sec   119 MBytes  1.00 Gbits/sec                  
[  5]   6.00-7.00   sec   119 MBytes   999 Mbits/sec                  
[  5]   7.00-8.00   sec   119 MBytes  1.00 Gbits/sec                  
[  5]   8.00-9.00   sec   119 MBytes   999 Mbits/sec                  
[  5]   9.00-10.00  sec   119 MBytes   999 Mbits/sec                  
[  5]  10.00-11.00  sec   123 MBytes  1.03 Gbits/sec                  
[  5]  11.00-12.00  sec   116 MBytes   970 Mbits/sec                  
[  5]  12.00-13.00  sec   119 MBytes  1.00 Gbits/sec                  
[  5]  13.00-14.00  sec   119 MBytes   999 Mbits/sec                  
[  5]  14.00-15.00  sec   119 MBytes  1.00 Gbits/sec                  
[  5]  15.00-16.00  sec   119 MBytes  1.00 Gbits/sec                  
[  5]  16.00-17.00  sec   119 MBytes   998 Mbits/sec                  
[  5]  17.00-18.00  sec   120 MBytes  1.00 Gbits/sec                  
[  5]  18.00-19.00  sec   119 MBytes   995 Mbits/sec                  
[  5]  19.00-20.00  sec   122 MBytes  1.03 Gbits/sec                  
[  5]  20.00-21.00  sec   119 MBytes   998 Mbits/sec                  
[  5]  21.00-22.00  sec   120 MBytes  1.01 Gbits/sec                  
[  5]  22.00-23.00  sec   115 MBytes   967 Mbits/sec                  
[  5]  23.00-24.00  sec   120 MBytes  1.00 Gbits/sec                  
[  5]  24.00-25.00  sec   118 MBytes   992 Mbits/sec                  
[  5]  25.00-26.00  sec   118 MBytes   993 Mbits/sec                  
[  5]  26.00-27.00  sec   119 MBytes  1.00 Gbits/sec                  
[  5]  27.00-28.00  sec   121 MBytes  1.01 Gbits/sec                  
[  5]  28.00-29.00  sec   122 MBytes  1.03 Gbits/sec                  
[  5]  29.00-30.00  sec   117 MBytes   985 Mbits/sec                  
[  5]  30.00-31.00  sec   121 MBytes  1.01 Gbits/sec                  
[  5]  31.00-32.00  sec   116 MBytes   972 Mbits/sec                  
[  5]  32.00-33.00  sec   121 MBytes  1.01 Gbits/sec                  
[  5]  33.00-34.00  sec   117 MBytes   984 Mbits/sec                  
[  5]  34.00-35.00  sec   115 MBytes   968 Mbits/sec                  
[  5]  35.00-36.00  sec   122 MBytes  1.02 Gbits/sec                  
[  5]  36.00-37.00  sec   119 MBytes  1.00 Gbits/sec                  
[  5]  37.00-38.00  sec   119 MBytes   998 Mbits/sec                  
[  5]  38.00-39.00  sec   120 MBytes  1.01 Gbits/sec                  
[  5]  39.00-40.00  sec   119 MBytes   995 Mbits/sec                  
[  5]  40.00-41.00  sec   122 MBytes  1.02 Gbits/sec                  
[  5]  41.00-42.00  sec  96.1 MBytes   806 Mbits/sec                  
[  5]  42.00-43.00  sec  91.9 MBytes   771 Mbits/sec                  
[  5]  43.00-44.00  sec  90.8 MBytes   762 Mbits/sec                  
[  5]  44.00-45.00  sec  90.6 MBytes   760 Mbits/sec                  
[  5]  45.00-46.00  sec  90.9 MBytes   762 Mbits/sec                  
[  5]  46.00-47.00  sec  91.0 MBytes   764 Mbits/sec                  
[  5]  47.00-48.00  sec  90.4 MBytes   758 Mbits/sec                  
[  5]  48.00-49.00  sec  90.3 MBytes   757 Mbits/sec                  
[  5]  49.00-50.00  sec  90.8 MBytes   762 Mbits/sec                  
[  5]  50.00-50.06  sec  5.34 MBytes   768 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-50.06  sec  0.00 Bytes  0.00 bits/sec                  sender
[  5]   0.00-50.06  sec  5.57 GBytes   956 Mbits/sec                  receiver
