Time,actualBandwidth,Bandwdith,Percentage
1,7.72,77.2,
2,7.98,79.8,
3,7.82,78.2,
4,7.83,78.3,
5,7.82,78.2,
6,7.83,78.3,
7,7.82,78.2,
8,7.82,78.2,
9,7.82,78.2,
10,7.82,78.2,
11,7.83,78.3,
12,7.82,78.2,
13,7.81,78.1,
14,7.83,78.3,
15,7.82,78.2,
16,7.84,78.4,
17,7.81,78.1,
18,7.83,78.3,
19,7.85,78.5,
20,7.83,78.3,
21,7.83,78.3,
22,7.83,78.3,
23,7.83,78.3,
24,7.83,78.3,
25,7.83,78.3,
26,7.82,78.2,
27,7.84,78.4,
28,7.83,78.3,
29,7.82,78.2,
30,7.83,78.3,
31,7.81,78.1,
32,7.82,78.2,
33,7.83,78.3,
34,7.83,78.3,
35,7.84,78.4,
36,7.83,78.3,
37,7.83,78.3,
38,7.84,78.4,
39,7.82,78.2,
40,7.83,78.3,
41,7.82,78.2,
42,7.83,78.3,
43,7.84,78.4,
44,7.82,78.2,
45,7.82,78.2,
46,7.81,78.1,
47,7.82,78.2,
48,7.84,78.4,
49,7.85,78.5,
50,7.86,78.6,
51,7.86,78.6,
52,7.86,78.6,
53,7.85,78.5,
54,7.83,78.3,
55,7.87,78.7,
56,7.9,79,
57,7.88,78.8,
58,7.88,78.8,
59,7.87,78.7,
60,7.86,78.6,
